model,prompt_tokens,completion_tokens,total_tokens,elapsed_ms,tokens_per_second
qwen3-4b-instruct-2507-mlx,403,25,428,653,38.28
qwen3-4b-instruct-2507-mlx,403,25,428,652,38.34
qwen3-4b-instruct-2507-mlx,403,11,414,385,28.57
qwen3-4b-instruct-2507-mlx,403,11,414,371,29.65
qwen3-4b-instruct-2507-mlx,403,25,428,664,37.65
qwen3-4b-instruct-2507-mlx,403,11,414,375,29.33
qwen3-4b-instruct-2507-mlx,403,25,428,649,38.52
qwen3-4b-instruct-2507-mlx,403,11,414,368,29.89
qwen3-4b-instruct-2507-mlx,403,25,428,651,38.40
qwen3-4b-instruct-2507-mlx,403,11,414,369,29.81
